164-02-F_x	190.0333333	115	61	188	313	274
164-02-F_y	135.3333333	23	180	262	182	32
165-02-F_x	177.4	100	51	182	300	252
165-02-F_y	140.3333333	36	181	276	176	36
165-03-F_x	186.9666667	119	75	196	296	257
165-03-F_y	146.8	49	174	267	191	54
176-01-F_x	190.3333333	112	57	189	323	268
176-01-F_y	129.1333333	16	173	269	169	15
176-03-F_x	198.8666667	114	49	199	336	286
176-03-F_y	140.8	23	175	292	185	27
178-01-F_x	186.8333333	105	42	199	329	256
178-01-F_y	146.0333333	31	185	285	193	33
178-02-F_x	193.2333333	116	55	192	339	269
178-02-F_y	152.8	36	207	285	200	36
194-01-F_x	196.2666667	122	58	191	337	271
194-01-F_y	134.6666667	15	174	288	175	16
194-02-F_x	196	120	48	201	334	273
194-02-F_y	133.5333333	12	157	288	171	18
206-02-F_x	197.4333333	141	77	196	310	264
206-02-F_y	143.2333333	32	191	264	199	34
206-03-F_x	186.9666667	119	57	185	315	255
206-03-F_y	139.9333333	29	176	287	173	27
211-01-F_x	190.6333333	120	71	177	321	272
211-01-F_y	134.8333333	24	184	269	164	33
211-02-F_x	184.3	106	60	198	303	253
211-02-F_y	143.9333333	44	181	271	177	45
213-01-F_x	186.5333333	101	41	180	324	284
213-01-F_y	139.3	25	177	287	185	31
213-02-F_x	185.6	90	52	188	322	273
213-02-F_y	140.4666667	40	175	273	178	40
214-03-F_x	187.4333333	99	57	192	330	256
214-03-F_y	136.2333333	23	202	268	174	12
214-04-F_x	181.4333333	114	41	170	314	261
214-04-F_y	135.4666667	20	172	270	181	15
218-01-F_x	193.6	129	55	183	328	276
218-01-F_y	142.1333333	43	174	259	184	47
218-02-F_x	189.5333333	110	54	200	330	252
218-02-F_y	145.1666667	46	198	277	193	64
227-05-F_x	186.2	112	57	181	319	264
227-05-F_y	140.5	30	185	277	178	31
227-06-F_x	197.4	125	66	197	325	275
227-06-F_y	124.6666667	14	156	266	169	15
228-01-F_x	181.5666667	73	47	180	316	277
228-01-F_y	145.3333333	36	200	294	178	24
228-02-F_x	183.1	88	48	188	320	275
228-02-F_y	147.7333333	21	199	289	198	24
229-01-F_x	186.1333333	113	72	189	299	258
229-01-F_y	150.5	46	185	276	190	53
229-02-F_x	162.3333333	87	41	168	282	228
229-02-F_y	141.9	47	174	267	174	40
233-03-F_x	186.1333333	113	51	193	316	264
233-03-F_y	137.5666667	24	178	279	187	21
233-04-F_x	177.1333333	104	39	183	310	245
233-04-F_y	142.9	27	186	286	179	27
237-01-F_x	196.1666667	121	60	192	329	278
237-01-F_y	133.9	23	168	281	176	25
237-02-F_x	190.6666667	100	60	183	328	281
237-02-F_y	145.9	34	185	294	182	34
241-01-F_x	190.8	124	62	194	322	253
241-01-F_y	137.4333333	30	176	278	166	29
241-02-F_x	190.0333333	125	75	202	297	248
241-02-F_y	136.6666667	33	179	261	172	36
243-01-F_x	190.2	105	60	191	324	276
243-01-F_y	145.2	20	187	284	201	32
243-02-F_x	189.8	117	59	187	323	268
243-02-F_y	136.2333333	17	174	283	174	25
244-01-F_x	189.5333333	115	66	184	318	260
244-01-F_y	141.4666667	33	195	269	188	25
244-03-F_x	191.1333333	130	60	186	308	267
244-03-F_y	148.8333333	26	174	280	202	42
247-01-F_x	194.7333333	120	70	196	319	273
247-01-F_y	129.1666667	15	159	269	173	25
247-02-F_x	185.8666667	118	63	187	307	253
247-02-F_y	130.7	27	178	269	163	25
250-01-F_x	180.1333333	107	51	165	309	265
250-01-F_y	145.2333333	31	200	271	194	44
250-02-F_x	193.8	132	88	192	297	260
250-02-F_y	143.0666667	54	181	244	182	61
253-01-F_x	171.5	87	45	162	296	254
253-01-F_y	138.3666667	45	161	268	204	25
253-05-F_x	187.8666667	113	67	181	314	259
253-05-F_y	133.5	34	177	260	174	28
269-01-F_x	181.8666667	114	38	167	314	272
269-01-F_y	143.1666667	26	170	288	193	40
269-02-F_x	173.9333333	80	32	169	315	274
269-02-F_y	148.5666667	28	186	289	197	46
270-01-F_x	187.8333333	111	46	185	327	270
270-01-F_y	143.8333333	29	197	280	183	31
270-02-F_x	185.1	110	53	184	322	252
270-02-F_y	145.7	30	213	272	190	43
271-01-F_x	182.4	107	36	201	312	264
271-01-F_y	145.2	26	176	294	223	21
271-02-F_x	172.8333333	73	49	191	305	234
271-02-F_y	141.5	42	198	282	183	16
278-01-F_x	174.3	109	55	184	298	223
278-01-F_y	139.0666667	37	178	270	172	33
278-02-F_x	185.3333333	117	77	190	295	244
278-02-F_y	138.1333333	55	162	254	164	50
279-02-F_x	182.6666667	117	70	185	291	249
279-02-F_y	147.9333333	52	186	271	184	53
279-03-F_x	189.4	116	68	203	305	253
279-03-F_y	139.2	39	176	260	188	40
291-01-F_x	194.3666667	110	62	195	337	267
291-01-F_y	141.4666667	18	194	284	164	32
291-03-F_x	163.2	92	55	150	272	249
291-03-F_y	139.4	42	163	257	182	55
294-01-F_x	184.2	106	54	169	320	267
294-01-F_y	148.0666667	40	192	286	186	41
294-02-F_x	192.8	112	83	185	313	267
294-02-F_y	148.4333333	44	214	270	182	45
296-01-F_x	183.6333333	115	60	170	311	248
296-01-F_y	134.2333333	29	176	265	177	36
296-02-F_x	175.7666667	95	47	168	302	257
296-02-F_y	137.9666667	38	172	270	171	34
310-01-F_x	187.1666667	109	56	189	317	266
310-01-F_y	141.5666667	32	171	281	175	39
310-02-F_x	176.7333333	109	45	169	304	256
310-02-F_y	138.4	30	171	270	178	41
999-01-F_x	0	-5.88	-9.51	0	9.51	5.88
999-01-F_y	0	-8.09	3.09	10	3.09	-8.09
000_12312x	0	-0.484	-1.94	0	1.94	1.176
000_12312y	0	-1.94	-0.484	2	-0.484	-1.618
